8,8,8,1,
9,9,9,1,
11,11,11,1,
13,13,13,1,
15,15,15,1,
17,16,17,1,
18,17,18,1,
19,19,19,1,
20,20,20,1,
21,21,21,1,
22,22,22,1,
23,23,23,1,
24,24,24,1,
26,25,26,1,
26,26,26,1,
27,26,27,1,
27,27,27,1,
28,28,28,1,
29,28,29,1,
29,29,29,1,
30,30,30,1,
31,31,31,1,
31,30,31,1,
0,0,0,1,
1,0,1,1,
1,1,1,1,
2,2,2,1,
3,2,3,1,
3,3,3,1,
4,4,4,1,
5,4,5,1,
5,5,5,1,
6,6,6,1,
7,6,7,1,
7,7,7,1,
9,8,9,1,
10,10,10,1,
11,10,11,1,
12,12,12,1,
16,16,16,1,
17,17,17,1,
19,18,19,1,
21,20,21,1,
25,25,25,1,
28,27,28,1,
29,29,30,1,
30,29,30,1,
0,0,1,1,
2,1,2,1,
3,3,4,1,
10,9,10,1,
12,11,12,1,
14,14,14,1,
23,22,23,1,
23,23,24,1,
4,4,5,1,
25,24,25,1,
18,18,18,1,
26,26,27,1,
6,5,6,1,
14,13,14,1,
14,14,15,1,
24,23,24,1,
4,3,4,1,
8,7,8,1,
13,12,13,1,
15,14,15,1,
22,21,22,1,
20,19,20,1,
7,7,8,1,
16,15,16,1
